County,State,County FIPS Code,Opioid Dispensing Rate per 100,Year,County and State
Autauga,AL,1001,134.8,2006,"Autauga, AL"
Autauga,AL,1001,135.8,2007,"Autauga, AL"
Autauga,AL,1001,144.9,2008,"Autauga, AL"
Autauga,AL,1001,147.5,2009,"Autauga, AL"
Autauga,AL,1001,151.7,2010,"Autauga, AL"
Autauga,AL,1001,144.1,2011,"Autauga, AL"
Autauga,AL,1001,157.8,2012,"Autauga, AL"
Autauga,AL,1001,166.7,2013,"Autauga, AL"
Autauga,AL,1001,145.3,2014,"Autauga, AL"
Autauga,AL,1001,129.9,2015,"Autauga, AL"
Autauga,AL,1001,129.6,2016,"Autauga, AL"
AUTAUGA,AL,1001,113.3,2017,"AUTAUGA, AL"
AUTAUGA,AL,1001,96.7,2018,"AUTAUGA, AL"
AUTAUGA,AL,1001,98.3,2020,"AUTAUGA, AL"
Autauga ,AL,1001,101.3,2019,"Autauga , AL"
Baldwin,AL,1003,127.8,2006,"Baldwin, AL"
Baldwin,AL,1003,133.2,2007,"Baldwin, AL"
Baldwin,AL,1003,138.3,2008,"Baldwin, AL"
Baldwin,AL,1003,143.9,2009,"Baldwin, AL"
Baldwin,AL,1003,143.8,2010,"Baldwin, AL"
Baldwin,AL,1003,150,2011,"Baldwin, AL"
Baldwin,AL,1003,156.4,2012,"Baldwin, AL"
Baldwin,AL,1003,154.3,2013,"Baldwin, AL"
Baldwin,AL,1003,143.5,2014,"Baldwin, AL"
Baldwin,AL,1003,132.1,2015,"Baldwin, AL"
Baldwin,AL,1003,123.8,2016,"Baldwin, AL"
BALDWIN,AL,1003,107.1,2017,"BALDWIN, AL"
BALDWIN,AL,1003,93.6,2018,"BALDWIN, AL"
BALDWIN,AL,1003,65,2020,"BALDWIN, AL"
Baldwin ,AL,1003,67.6,2019,"Baldwin , AL"
Barbour,AL,1005,78.1,2006,"Barbour, AL"
Barbour,AL,1005,72.7,2007,"Barbour, AL"
Barbour,AL,1005,79.6,2008,"Barbour, AL"
Barbour,AL,1005,88.5,2009,"Barbour, AL"
Barbour,AL,1005,97,2010,"Barbour, AL"
Barbour,AL,1005,99.4,2011,"Barbour, AL"
Barbour,AL,1005,118.3,2012,"Barbour, AL"
Barbour,AL,1005,107.5,2013,"Barbour, AL"
Barbour,AL,1005,102,2014,"Barbour, AL"
Barbour,AL,1005,93.3,2015,"Barbour, AL"
Barbour,AL,1005,92.7,2016,"Barbour, AL"
BARBOUR,AL,1005,90.5,2017,"BARBOUR, AL"
BARBOUR,AL,1005,86,2018,"BARBOUR, AL"
BARBOUR,AL,1005,22.8,2020,"BARBOUR, AL"
Barbour ,AL,1005,27.2,2019,"Barbour , AL"
Bibb,AL,1007,114.3,2006,"Bibb, AL"
Bibb,AL,1007,116.1,2007,"Bibb, AL"
Bibb,AL,1007,119.6,2008,"Bibb, AL"
Bibb,AL,1007,109.6,2009,"Bibb, AL"
Bibb,AL,1007,58.9,2010,"Bibb, AL"
Bibb,AL,1007,57.7,2011,"Bibb, AL"
Bibb,AL,1007,69.2,2012,"Bibb, AL"
Bibb,AL,1007,70.5,2013,"Bibb, AL"
Bibb,AL,1007,75.8,2014,"Bibb, AL"
Bibb,AL,1007,69.4,2015,"Bibb, AL"
Bibb,AL,1007,97.2,2016,"Bibb, AL"
BIBB,AL,1007,91.1,2017,"BIBB, AL"
BIBB,AL,1007,81.1,2018,"BIBB, AL"
BIBB,AL,1007,24.8,2020,"BIBB, AL"
Bibb ,AL,1007,21,2019,"Bibb , AL"
Blount,AL,1009,40.3,2006,"Blount, AL"
Blount,AL,1009,44.6,2007,"Blount, AL"
Blount,AL,1009,58.2,2008,"Blount, AL"
Blount,AL,1009,56.2,2009,"Blount, AL"
Blount,AL,1009,60.1,2010,"Blount, AL"
Blount,AL,1009,64.8,2011,"Blount, AL"
Blount,AL,1009,66.6,2012,"Blount, AL"
Blount,AL,1009,65.9,2013,"Blount, AL"
Blount,AL,1009,63.2,2014,"Blount, AL"
Blount,AL,1009,57.9,2015,"Blount, AL"
Blount,AL,1009,56.9,2016,"Blount, AL"
BLOUNT,AL,1009,50.4,2017,"BLOUNT, AL"
BLOUNT,AL,1009,45.4,2018,"BLOUNT, AL"
BLOUNT,AL,1009,22.8,2020,"BLOUNT, AL"
Blount ,AL,1009,23.7,2019,"Blount , AL"
Bullock,AL,1011,34.6,2006,"Bullock, AL"
Bullock,AL,1011,37.7,2007,"Bullock, AL"
Bullock,AL,1011,41.1,2008,"Bullock, AL"
Bullock,AL,1011,46.3,2009,"Bullock, AL"
Bullock,AL,1011,53.8,2010,"Bullock, AL"
Bullock,AL,1011,41,2011,"Bullock, AL"
Bullock,AL,1011,40.8,2012,"Bullock, AL"
Bullock,AL,1011,41.2,2013,"Bullock, AL"
Bullock,AL,1011,34.3,2014,"Bullock, AL"
Bullock,AL,1011,23.4,2015,"Bullock, AL"
Bullock,AL,1011,19.8,2016,"Bullock, AL"
BULLOCK,AL,1011,20.4,2017,"BULLOCK, AL"
BULLOCK,AL,1011,24.8,2018,"BULLOCK, AL"
BULLOCK,AL,1011,22,2020,"BULLOCK, AL"
Bullock ,AL,1011,24.7,2019,"Bullock , AL"
Butler,AL,1013,105.4,2006,"Butler, AL"
Butler,AL,1013,102,2007,"Butler, AL"
Butler,AL,1013,104.5,2008,"Butler, AL"
Butler,AL,1013,121.2,2009,"Butler, AL"
Butler,AL,1013,117.5,2010,"Butler, AL"
Butler,AL,1013,135.8,2011,"Butler, AL"
Butler,AL,1013,158.6,2012,"Butler, AL"
Butler,AL,1013,149.7,2013,"Butler, AL"
Butler,AL,1013,145,2014,"Butler, AL"
Butler,AL,1013,140.5,2015,"Butler, AL"
Butler,AL,1013,135.4,2016,"Butler, AL"
BUTLER,AL,1013,119.6,2017,"BUTLER, AL"
BUTLER,AL,1013,106,2018,"BUTLER, AL"
BUTLER,AL,1013,35.1,2020,"BUTLER, AL"
Butler ,AL,1013,40.6,2019,"Butler , AL"
Calhoun,AL,1015,165.7,2006,"Calhoun, AL"
Calhoun,AL,1015,173.4,2007,"Calhoun, AL"
Calhoun,AL,1015,174.4,2008,"Calhoun, AL"
Calhoun,AL,1015,175.9,2009,"Calhoun, AL"
Calhoun,AL,1015,182.5,2010,"Calhoun, AL"
Calhoun,AL,1015,176.7,2011,"Calhoun, AL"
